emotions1,emotions2,emotions3,emotions4,emotions5,emotions6,emotions7,attention1,attention2,attention3,psychdistance1,psychdistance2,psychdistance3,liking1,liking2,liking3,liking4,liking5,humor1,humor2,humor3,aversiveness,messagediscounting1,messagediscounting2,messagediscounting3,messagediscounting4,attitudepositive1,attitudepositive2,attitudepositive3,attitudenegative1,attitudenegative2,attitudenegative3,age,newsconsumption1,newsconsumption2,newsconsumption3,newsconsumption4,condition,country
2,2,6,5,2,2,4,6,7,6,7,7,6,6,2,7,2,2,2,2,2,6,2,3,4,2,7,3,6,3,3,4,72,3,4,3,4,reg,UK
4,5,3,4,3,2,3,5,5,4,2,3,2,4,4,5,2,2,2,3,4,3,2,5,3,3,4,4,3,4,4,3,19,3,7,4,4,sat,UK
1,1,1,1,1,7,1,7,7,5,1,6,4,1,1,5,1,1,1,1,1,4,1,1,1,1,3,3,4,5,5,4,61,6,7,3,3,reg,UK
4,2,5,1,4,4,5,6,6,6,6,5,6,5,4,6,2,1,2,2,2,6,3,3,3,5,4,4,4,5,5,5,27,4,3,6,4,reg,NZ
3,3,4,3,5,1,2,7,6,5,2,1,1,5,2,6,5,2,2,2,5,1,5,5,4,3,5,5,5,5,5,5,52,5,4,2,2,sat,UK
1,2,2,4,3,4,3,6,6,7,5,6,5,6,4,6,2,1,1,2,5,5,1,3,2,2,5,3,5,3,5,6,63,4,5,3,4,reg,NZ
5,3,5,3,4,5,5,5,4,5,6,6,6,4,4,5,4,4,4,4,4,5,3,3,3,5,6,5,5,5,5,6,28,4,3,2,2,sat,UK
4,6,4,4,5,4,4,4,6,5,2,5,4,4,4,5,4,3,2,5,2,6,4,4,2,7,4,4,4,4,4,4,29,4,6,3,3,sat,UK
2,2,3,2,5,5,7,6,5,3,3,6,5,5,4,3,4,3,5,5,3,6,5,6,6,6,6,6,6,3,4,3,47,3,7,7,3,sat,UK
5,3,2,2,4,5,2,6,6,5,6,5,2,6,2,6,5,2,2,5,2,6,2,2,3,2,2,5,2,6,5,6,21,3,3,4,3,sat,UK
4,4,4,4,4,4,5,6,6,5,4,4,3,4,4,4,4,3,3,3,3,5,3,4,3,4,4,4,3,4,4,5,68,2,6,4,3,reg,UK
4,2,1,1,1,1,1,7,7,6,6,7,1,6,6,6,3,4,7,7,6,2,2,2,2,6,4,3,5,6,4,4,48,5,7,7,4,sat,UK
4,4,4,4,4,4,4,7,7,4,6,6,5,4,4,5,4,4,4,4,4,5,1,2,2,2,6,2,6,3,6,4,83,1,7,2,1,sat,NZ
5,5,4,4,1,2,2,5,5,3,5,5,3,5,5,3,5,5,6,6,5,1,6,5,2,3,5,5,5,5,5,5,33,4,4,5,6,sat,NZ
3,5,3,3,1,2,2,5,6,6,6,7,6,6,4,5,2,4,2,2,4,2,2,1,3,2,6,4,5,3,3,2,25,2,3,3,4,reg,NZ
5,5,3,4,3,5,5,6,6,6,5,4,2,6,5,6,5,2,5,5,5,5,4,4,3,5,5,5,4,5,5,4,31,4,7,3,4,sat,UK
1,5,1,5,1,2,2,6,6,5,1,6,1,3,4,4,1,4,6,6,5,2,6,7,7,7,6,6,6,3,5,5,24,1,6,7,7,sat,UK
4,6,6,3,1,2,1,5,5,2,7,6,1,2,3,5,3,1,2,1,1,1,3,2,6,6,4,3,3,2,5,3,20,2,7,6,7,reg,NZ
5,6,4,5,1,1,1,5,5,6,4,5,5,6,6,6,4,3,2,1,5,1,3,2,3,2,5,4,5,3,5,4,23,1,3,1,1,reg,NZ
4,4,4,4,4,4,4,6,6,4,6,6,5,2,4,4,3,4,2,3,3,2,2,3,4,5,6,2,5,2,5,4,27,1,4,4,3,reg,NZ
1,3,5,3,5,5,5,4,4,4,6,6,6,4,2,4,3,2,2,2,3,5,4,4,6,6,4,4,4,4,4,4,47,3,5,4,5,sat,NZ
2,2,5,2,2,2,2,6,6,4,5,5,3,4,4,4,3,3,6,5,5,5,5,5,5,6,3,1,3,5,6,5,26,4,5,5,3,sat,NZ
5,3,4,4,4,5,4,6,6,3,4,4,3,4,5,3,3,3,2,3,3,4,3,3,2,3,6,4,3,2,3,3,21,4,3,5,5,reg,NZ
2,4,4,2,5,2,4,7,7,5,5,5,5,3,2,3,4,1,1,1,1,4,2,2,6,2,2,2,1,4,4,6,55,3,7,3,3,reg,UK
5,1,3,5,5,2,2,6,5,2,6,7,2,3,3,3,1,1,1,1,1,5,1,1,2,2,5,3,1,3,6,7,22,5,4,3,3,reg,NZ
4,4,2,1,5,5,5,5,5,5,7,7,5,3,6,6,5,5,7,7,7,6,7,7,7,7,1,2,1,7,7,7,25,4,5,4,4,sat,NZ
1,1,4,1,3,1,7,5,3,2,7,7,7,7,1,5,1,1,1,1,1,5,1,1,1,1,5,1,4,5,5,4,30,3,1,1,1,reg,NZ
1,2,4,2,5,4,6,6,6,5,4,4,2,6,4,6,1,3,2,2,4,6,1,2,5,2,6,2,3,2,6,5,46,4,4,2,3,reg,UK
4,4,3,4,6,5,4,7,6,5,6,6,6,4,4,5,4,4,4,4,4,6,1,1,4,1,5,3,3,2,5,5,32,1,5,1,3,reg,NZ
