subject,emotions1,emotions2,emotions3,emotions4,emotions5,emotions6,emotions7,psychdistance1,psychdistance2,psychdistance3,liking1,liking2,liking3,liking4,liking5,humor1,humor2,humor3,condition
246,2,2,2,2,2,2,6,6,2,5,2,1,3,2,2,1,2,3,Satire NZ
247,4,4,4,4,4,4,4,4,6,5,4,3,3,4,4,3,2,3,Regular news NZ
248,3,3,4,3,4,5,5,6,6,5,6,2,5,4,2,2,2,2,Regular news NZ
249,1,1,1,1,1,1,5,6,7,2,7,6,6,6,5,6,7,6,Satire UK
250,4,4,3,4,6,2,2,2,6,6,4,4,6,4,4,3,6,5,Satire UK
251,3,3,4,4,2,4,4,3,7,2,2,2,3,2,2,3,2,2,Satire UK
252,3,2,5,2,1,5,5,5,6,5,6,5,6,5,3,3,3,5,Satire UK
253,1,1,1,1,1,6,1,2,7,1,7,7,7,7,6,7,7,6,Satire UK
254,5,3,6,4,3,5,6,2,6,6,3,4,3,6,3,5,6,4,Regular news UK
255,2,4,3,3,2,4,5,4,6,3,4,3,4,3,3,4,4,3,Regular news NZ
256,4,4,5,5,2,2,5,2,6,2,6,2,6,2,2,2,2,3,Regular news NZ
257,4,4,4,4,4,4,5,6,6,6,3,4,3,4,4,4,4,4,Regular news UK
258,1,3,1,1,4,4,2,6,6,6,4,2,4,1,2,1,1,1,Regular news UK
259,2,3,3,5,5,4,4,5,5,4,5,4,5,4,4,1,1,1,Satire NZ
260,3,5,4,4,1,4,5,4,6,4,5,5,5,3,5,2,3,5,Regular news NZ
261,3,3,5,4,2,2,5,4,4,4,5,4,5,4,4,5,5,4,Satire NZ
262,3,3,3,5,1,5,5,4,6,3,3,4,6,5,4,2,4,4,Satire UK
263,4,4,6,6,4,4,3,5,4,4,5,4,4,4,4,4,4,5,Satire NZ
264,3,4,2,3,5,3,2,6,6,6,6,3,5,2,3,6,6,5,Satire UK
265,4,4,4,3,4,4,4,5,5,3,4,4,6,4,5,3,4,4,Regular news UK
266,2,2,2,2,2,2,2,3,5,4,4,5,4,4,4,6,6,6,Satire UK
267,1,1,1,1,1,1,1,5,6,1,6,2,2,2,2,2,2,2,Satire NZ
268,1,4,3,2,2,3,5,1,3,2,3,2,5,2,2,1,1,2,Satire UK
269,3,3,4,3,1,2,5,6,6,5,4,3,5,3,3,3,3,3,Regular news NZ
270,6,2,6,5,6,4,6,6,6,6,6,5,6,4,2,2,2,5,Regular news NZ
271,1,1,1,1,5,1,5,5,7,7,6,2,6,1,1,1,1,2,Regular news UK
272,1,4,5,4,5,1,3,7,7,7,6,4,6,4,4,2,2,2,Satire NZ
273,1,1,1,1,1,5,1,1,7,1,3,2,5,1,2,2,6,1,Satire NZ
274,2,4,4,4,2,2,4,2,3,2,4,4,5,4,4,4,4,4,Regular news UK
275,6,4,6,4,5,4,5,2,2,5,6,5,6,4,4,2,2,4,Regular news UK
276,3,3,3,3,4,5,5,2,3,1,4,3,5,2,1,1,2,2,Satire NZ
277,4,4,4,4,4,4,4,5,5,3,7,4,7,5,4,4,4,4,Regular news NZ
278,2,4,2,3,5,2,5,5,6,6,3,5,5,3,4,2,5,5,Regular news UK
279,2,4,3,3,2,2,2,6,6,5,3,4,5,2,4,4,4,3,Regular news NZ
280,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Regular news NZ
281,4,4,4,4,5,4,5,5,6,4,4,4,5,4,3,4,4,4,Satire UK
282,1,1,5,1,1,1,5,1,1,1,4,1,2,1,1,1,1,1,Regular news NZ
283,2,4,5,2,2,6,1,6,6,3,6,2,5,2,2,5,2,2,Regular news NZ
284,1,1,5,1,4,4,5,5,7,5,3,3,4,2,2,2,2,3,Regular news UK
285,4,2,3,3,2,4,4,5,5,5,4,4,3,4,3,5,5,5,Satire NZ
286,3,2,2,1,5,4,5,6,6,6,3,1,5,4,1,1,1,1,Satire NZ
287,4,6,4,4,4,4,4,5,7,6,4,4,5,4,4,4,4,4,Satire NZ
288,4,3,5,4,3,3,5,2,5,6,3,2,5,3,4,1,2,3,Regular news UK
289,2,2,2,2,6,2,2,2,2,1,4,4,5,2,4,2,2,4,Satire NZ
290,5,4,1,1,1,1,1,7,7,7,6,6,7,1,3,1,1,1,Regular news UK
291,3,3,4,3,6,6,6,6,6,2,6,2,5,2,2,2,2,2,Satire NZ
292,2,3,2,4,3,3,3,5,4,4,2,3,1,2,2,3,2,2,Satire NZ
293,1,1,6,1,5,5,6,4,6,5,5,2,5,2,1,1,1,1,Regular news UK
294,2,4,1,2,2,2,2,2,6,2,5,4,3,4,4,6,6,5,Satire UK
295,1,1,1,1,1,5,5,5,6,2,5,1,5,1,1,3,3,2,Satire NZ
296,3,3,5,3,5,4,5,5,5,6,3,4,4,3,4,3,4,4,Satire UK
297,2,6,1,2,1,1,2,3,7,3,5,4,2,2,3,5,5,5,Satire UK
298,4,4,4,4,1,5,3,5,6,3,2,3,2,2,2,6,6,5,Satire NZ
299,3,3,3,2,2,5,5,2,6,5,3,3,2,2,2,2,2,2,Regular news UK
300,2,5,6,2,3,2,3,5,7,6,6,5,6,3,3,2,2,4,Regular news NZ
